,STATE,COUNTRY,Date,value
857,South Dakota,Canada,2021,224
858,Tennessee,Canada,1996,4
859,Tennessee,Canada,1997,25
860,Tennessee,Canada,1998,32
861,Tennessee,Canada,1999,32
862,Tennessee,Canada,2000,28
863,Tennessee,Canada,2001,37
864,Tennessee,Canada,2002,26
865,Tennessee,Canada,2003,32
866,Tennessee,Canada,2004,42
867,Tennessee,Canada,2005,36
868,Tennessee,Canada,2006,16
869,Tennessee,Canada,2007,20
870,Tennessee,Canada,2008,25
871,Tennessee,Canada,2009,45
872,Tennessee,Canada,2010,30
873,Tennessee,Canada,2011,18
874,Tennessee,Canada,2012,13
875,Tennessee,Canada,2013,16
876,Tennessee,Canada,2014,13
877,Tennessee,Canada,2015,10
878,Tennessee,Canada,2016,11
879,Tennessee,Canada,2017,13
880,Tennessee,Canada,2018,8
881,Tennessee,Canada,2019,11
882,Tennessee,Canada,2021,3
883,Texas,Canada,1997,429
884,Texas,Canada,1998,155
885,Texas,Canada,1999,220
886,Texas,Canada,2000,197
887,Texas,Canada,2001,300
888,Texas,Canada,2002,272
889,Texas,Canada,2003,323
890,Texas,Canada,2004,196
891,Texas,Canada,2005,273
892,Texas,Canada,2006,182
893,Texas,Canada,2007,416
894,Texas,Canada,2008,238
895,Texas,Canada,2009,459
896,Texas,Canada,2010,320
897,Texas,Canada,2011,136
898,Texas,Canada,2012,142
899,Texas,Canada,2013,106
900,Texas,Canada,2014,196
901,Texas,Canada,2015,377
902,Texas,Canada,2016,554
903,Texas,Canada,2017,509
904,Texas,Canada,2018,255
905,Texas,Canada,2019,384
906,Texas,Canada,2021,255
907,Utah,Canada,1997,24
908,Utah,Canada,1998,8
909,Utah,Canada,1999,35
910,Utah,Canada,2000,5
911,Utah,Canada,2001,2
912,Utah,Canada,2002,11
913,Utah,Canada,2003,6
914,Utah,Canada,2004,7
915,Utah,Canada,2005,18
916,Utah,Canada,2006,18
917,Utah,Canada,2007,18
918,Utah,Canada,2008,11
919,Utah,Canada,2009,4
920,Utah,Canada,2010,16
921,Utah,Canada,2011,6
922,Utah,Canada,2012,7
923,Utah,Canada,2013,2
924,Utah,Canada,2014,4
925,Utah,Canada,2015,6
926,Utah,Canada,2016,14
927,Utah,Canada,2017,18
928,Utah,Canada,2018,17
929,Utah,Canada,2019,10
930,Utah,Canada,2021,4
931,Vermont,Canada,1997,2
932,Vermont,Canada,1998,2
933,Vermont,Canada,2000,2
934,Vermont,Canada,2001,2
935,Vermont,Canada,2002,1
936,Vermont,Canada,2004,2
937,Vermont,Canada,2006,2
938,Virginia,Canada,1996,12
939,Virginia,Canada,1997,120
940,Virginia,Canada,1998,115
941,Virginia,Canada,1999,131
942,Virginia,Canada,2000,150
943,Virginia,Canada,2001,136
944,Virginia,Canada,2002,130
945,Virginia,Canada,2003,133
946,Virginia,Canada,2004,130
947,Virginia,Canada,2005,132
948,Virginia,Canada,2006,109
949,Virginia,Canada,2007,108
950,Virginia,Canada,2008,106
951,Virginia,Canada,2009,149
952,Virginia,Canada,2010,91
953,Virginia,Canada,2011,102
954,Virginia,Canada,2012,107
955,Virginia,Canada,2013,91
956,Virginia,Canada,2014,89
957,Virginia,Canada,2015,95
958,Virginia,Canada,2016,83
959,Virginia,Canada,2017,59
960,Virginia,Canada,2018,87
961,Virginia,Canada,2019,54
962,Virginia,Canada,2021,77
963,Washington,Canada,1996,6
964,Washington,Canada,1997,121
965,Washington,Canada,1998,100
966,Washington,Canada,1999,83
967,Washington,Canada,2000,74
968,Washington,Canada,2001,66
969,Washington,Canada,2002,84
970,Washington,Canada,2003,75
971,Washington,Canada,2004,92
972,Washington,Canada,2005,130
973,Washington,Canada,2006,112
974,Washington,Canada,2007,67
975,Washington,Canada,2008,84
976,Washington,Canada,2009,148
977,Washington,Canada,2010,85
978,Washington,Canada,2011,86
979,Washington,Canada,2012,95
980,Washington,Canada,2013,65
981,Washington,Canada,2014,95
982,Washington,Canada,2015,139
983,Washington,Canada,2016,65
984,Washington,Canada,2017,41
985,Washington,Canada,2018,86
986,Washington,Canada,2019,70
987,Washington,Canada,2021,35
988,West Virginia,Canada,1997,15
989,West Virginia,Canada,1998,16
990,West Virginia,Canada,1999,21
991,West Virginia,Canada,2000,32
992,West Virginia,Canada,2001,43
993,West Virginia,Canada,2002,30
994,West Virginia,Canada,2003,13
995,West Virginia,Canada,2004,21
996,West Virginia,Canada,2005,18
997,West Virginia,Canada,2006,7
998,West Virginia,Canada,2007,12
999,West Virginia,Canada,2008,9
1000,West Virginia,Canada,2009,10
1001,West Virginia,Canada,2010,9
1002,West Virginia,Canada,2011,6
1003,West Virginia,Canada,2012,16
1004,West Virginia,Canada,2013,28
1005,West Virginia,Canada,2014,18
1006,West Virginia,Canada,2015,16
1007,West Virginia,Canada,2016,15
1008,West Virginia,Canada,2017,14
1009,West Virginia,Canada,2018,7
1010,West Virginia,Canada,2019,9
1011,West Virginia,Canada,2021,17
1012,Wisconsin,Canada,1997,51
1013,Wisconsin,Canada,1998,59
1014,Wisconsin,Canada,1999,35
1015,Wisconsin,Canada,2000,38
1016,Wisconsin,Canada,2001,49
1017,Wisconsin,Canada,2002,47
1018,Wisconsin,Canada,2003,50
1019,Wisconsin,Canada,2004,36
1020,Wisconsin,Canada,2005,47
1021,Wisconsin,Canada,2006,36
1022,Wisconsin,Canada,2007,73
1023,Wisconsin,Canada,2008,22
1024,Wisconsin,Canada,2009,49
1025,Wisconsin,Canada,2010,36
1026,Wisconsin,Canada,2011,47
1027,Wisconsin,Canada,2012,36
1028,Wisconsin,Canada,2013,38
1029,Wisconsin,Canada,2014,17
1030,Wisconsin,Canada,2015,35
1031,Wisconsin,Canada,2016,16
1032,Wisconsin,Canada,2017,19
1033,Wisconsin,Canada,2018,21
1034,Wisconsin,Canada,2019,26
1035,Wisconsin,Canada,2021,14
1036,Wyoming,Canada,1992,2
1037,Wyoming,Canada,1997,179
1038,Wyoming,Canada,1998,362
1039,Wyoming,Canada,1999,400
1040,Wyoming,Canada,2000,239
1041,Wyoming,Canada,2001,144
1042,Wyoming,Canada,2002,99
1043,Wyoming,Canada,2003,80
1044,Wyoming,Canada,2004,36
1045,Wyoming,Canada,2005,43
1046,Wyoming,Canada,2006,113
1047,Wyoming,Canada,2007,85
1048,Wyoming,Canada,2008,102
1049,Wyoming,Canada,2009,107
1050,Wyoming,Canada,2010,94
1051,Wyoming,Canada,2011,99
1052,Wyoming,Canada,2012,97
1053,Wyoming,Canada,2013,106
1054,Wyoming,Canada,2014,90
1055,Wyoming,Canada,2015,165
1056,Wyoming,Canada,2016,87
1057,Wyoming,Canada,2017,177
1058,Wyoming,Canada,2018,181
1059,Wyoming,Canada,2019,121
1060,Wyoming,Canada,2021,66
